4,0,IntegerState,DepthFirstSearch,123804765,411,0,158326,Failed...,Time taken = 5.62367 milliseconds.
4,1,IntegerState,BreadthFirstSearch,123804765,24979,0,181440,Failed...,Time taken = 7.0296 milliseconds.
4,2,IntegerState,ProgressiveDeepeningSearch,123804765,411,0,71135833,Failed...,Time taken = 2269.29 milliseconds.
4,3,IntegerState,AStarSearch,123804765,28858,0,241921,Failed...,Time taken = 12.8095 milliseconds.

4,0,NibbleState,DepthFirstSearch,123804765,411,0,158326,Failed...,Time taken = 5.31126 milliseconds.
4,1,NibbleState,BreadthFirstSearch,123804765,24979,0,181440,Failed...,Time taken = 6.87348 milliseconds.
4,2,NibbleState,ProgressiveDeepeningSearch,123804765,411,0,71135833,Failed...,Time taken = 2178.54 milliseconds.
4,3,NibbleState,AStarSearch,123804765,28858,0,241921,Failed...,Time taken = 14.0594 milliseconds.

